playerId,name,team,position,Overall_Talent_Rating,Offensive_Rate,xGD_OnIce_Per_100,I_F_takeaways_per60,games_played,icetime
8477492,Nathan MacKinnon,COL,C,100.00,1.34,3.00,0.90,395,215978.00
8477934,Leon Draisaitl,EDM,C,96.99,1.66,8.80,1.37,355,183328.00
8480069,Cale Makar,COL,D,96.37,0.91,3.00,1.75,400,246876.00
8479407,Jesper Bratt,NJD,L,95.18,1.06,6.40,0.41,405,184176.00
8477493,Aleksander Barkov,FLA,C,94.96,0.99,6.60,1.50,335,162874.00
8476453,Nikita Kucherov,TBL,R,94.63,1.61,2.40,1.07,390,198334.00
8477494,Jonathan Drouin,COL,L,93.91,0.97,0.60,1.15,215,93822.00
8479542,Brandon Hagel,TBL,L,93.88,1.22,8.40,1.06,410,204114.00
8480039,Martin Necas,COL,C,93.59,1.16,0.20,0.92,395,180106.00
8478398,Kyle Connor,WPG,L,92.94,1.33,2.00,1.18,410,200684.00
8478402,Connor McDavid,EDM,C,92.29,1.44,13.40,1.30,335,177132.00
8482093,Seth Jarvis,CAR,C,92.25,1.19,5.40,1.36,365,169558.00
8477933,Sam Reinhart,FLA,C,91.76,1.22,5.60,0.89,395,194362.00
8480800,Quinn Hughes,VAN,D,91.29,0.79,5.60,0.86,340,209950.00
8478427,Sebastian Aho,CAR,C,91.00,1.13,7.20,0.87,395,190550.00
8480018,Nick Suzuki,MTL,C,90.76,1.12,-1.00,1.11,410,197396.00
8479343,Clayton Keller,UTA,R,90.67,1.10,5.20,1.05,405,185828.00
8482078,Lucas Raymond,DET,L,90.33,1.05,2.00,1.09,410,184828.00
8479318,Auston Matthews,TOR,C,89.76,1.31,1.20,1.27,335,164596.00
8480023,Robert Thomas,STL,C,89.72,1.14,1.60,0.94,350,167648.00
8480002,Nico Hischier,NJD,C,89.39,1.17,6.00,0.94,375,183492.00
8478420,Mikko Rantanen,DAL,R,89.27,1.13,1.40,1.38,410,209092.00
8482116,Tim Sttzle,OTT,C,89.19,0.90,1.20,0.85,410,194960.00
8478550,Artemi Panarin,NYR,L,89.15,1.25,18.60,0.95,400,188958.00
8478483,Mitch Marner,TOR,R,89.14,1.21,0.40,1.93,405,207186.00
8477956,David Pastrnak,BOS,R,89.12,1.58,-1.40,1.45,410,198632.00
8478403,Jack Eichel,VGK,C,89.10,1.05,5.40,1.06,385,189730.00
8481559,Jack Hughes,NJD,C,89.02,1.26,12.60,1.02,310,155502.00
8475913,Mark Stone,VGK,R,88.83,1.18,6.80,1.79,330,152494.00
8476887,Filip Forsberg,NSH,L,88.45,1.10,0.80,1.49,410,183298.00
8480803,Evan Bouchard,EDM,D,87.88,0.44,7.00,1.72,410,230830.00
8475166,John Tavares,TOR,C,87.85,1.35,1.60,1.05,375,164030.00
8477497,Sean Monahan,CBJ,C,87.62,1.23,2.60,0.76,270,123216.00
8475794,Tyler Seguin,DAL,C,87.59,1.60,7.40,0.74,100,38758.00
8477404,Jake Guentzel,TBL,C,87.22,1.23,8.20,0.94,400,191930.00
8477960,Adrian Kempe,LAK,R,86.87,1.21,1.80,0.50,405,186190.00
8479314,Matthew Tkachuk,FLA,L,86.70,1.42,18.40,0.63,260,113764.00
8477447,Shea Theodore,VGK,D,86.63,0.62,11.00,1.14,335,176818.00
8482077,Dylan Holloway,STL,L,86.33,1.11,2.40,1.57,385,155458.00
8480893,Kirill Marchenko,CBJ,R,86.18,1.23,0.20,1.47,395,176168.00
8482740,Wyatt Johnston,DAL,C,85.68,1.14,1.80,1.12,410,186230.00
8480839,Rasmus Dahlin,BUF,D,85.66,0.71,1.00,1.32,365,212304.00
8479420,Tage Thompson,BUF,C,85.19,1.41,4.40,0.88,380,171058.00
8475167,Victor Hedman,TBL,D,84.97,0.63,3.80,0.82,395,218796.00
8476881,Tomas Hertl,VGK,C,84.86,1.23,12.40,1.39,365,149942.00
8471675,Sidney Crosby,PIT,C,84.80,1.19,-0.80,1.07,400,195596.00
8477946,Dylan Larkin,DET,C,84.68,1.04,1.60,1.42,410,197496.00
8477939,William Nylander,TOR,R,84.49,1.35,17.80,1.05,410,191974.00
8478864,Kirill Kaprizov,MIN,L,84.32,1.52,2.20,0.78,205,110538.00
8479323,Adam Fox,NYR,D,84.18,0.63,1.20,1.40,370,206450.00
8475168,Matt Duchene,DAL,C,84.09,1.20,1.60,0.90,410,168686.00
8477955,Jared McCann,SEA,L,83.71,0.99,0.80,1.23,410,169354.00
8477951,Nick Schmaltz,UTA,C,83.48,0.80,4.00,1.22,410,182908.00
8476460,Mark Scheifele,WPG,C,83.45,1.30,-0.20,0.89,410,201128.00
8481656,Aliaksei Protas,WSH,C,83.39,1.34,7.20,0.89,380,150080.00
8479385,Jordan Kyrou,STL,R,83.37,1.24,1.40,0.88,410,172028.00
8475172,Nazem Kadri,CGY,C,83.37,1.08,-1.20,1.13,410,190452.00
8477940,Nikolaj Ehlers,WPG,L,83.30,1.39,-0.80,0.88,345,130782.00
8477949,Alex Tuch,BUF,R,83.15,1.05,1.40,1.84,410,189462.00
8471685,Anze Kopitar,LAK,C,82.93,0.95,1.00,1.17,405,184250.00
8476880,Tom Wilson,WSH,R,82.80,1.09,6.40,0.79,405,182024.00
8482699,Dylan Guenther,UTA,R,82.75,1.15,1.60,0.91,350,142776.00
8478460,Zach Werenski,CBJ,D,82.64,0.72,1.80,1.34,405,259964.00
8481557,Matt Boldy,MIN,L,82.63,0.91,5.60,1.53,410,199636.00
8476389,Vincent Trocheck,NYR,C,82.43,0.78,-1.00,1.13,410,207614.00
8482660,Kent Johnson,CBJ,C,82.13,1.08,0.20,1.05,340,141118.00
8478439,Travis Konecny,PHI,R,82.10,0.99,2.80,0.89,410,202732.00
8476483,Rickard Rakell,PIT,R,82.02,1.10,17.40,0.77,405,187572.00
8478010,Brayden Point,TBL,C,81.83,1.36,1.00,0.68,385,179988.00
8479400,Pierre-Luc Dubois,WSH,L,81.32,1.00,0.60,0.63,410,170230.00
8476906,Shayne Gostisbehere,CAR,D,81.22,0.42,6.40,1.67,350,155576.00
8483431,Logan Cooley,UTA,C,81.03,1.02,0.20,1.05,375,160752.00
8478449,Roope Hintz,DAL,C,80.92,1.27,1.80,0.79,380,154048.00
8483808,Andrei Kuzmenko,LAK,L,80.89,0.73,3.40,1.28,330,123790.00
8471214,Alex Ovechkin,WSH,L,80.76,1.77,0.20,0.62,325,138250.00
8478975,Mason Marchment,DAL,L,80.73,1.29,4.00,1.39,310,114128.00
8480208,Drake Batherson,OTT,R,80.69,1.06,1.00,0.93,410,178522.00
8482758,Ville Koivunen,PIT,R,80.59,0.50,-0.40,1.24,40,17390.00
8480830,Andrei Svechnikov,CAR,R,80.45,0.93,0.00,0.83,360,147862.00
8476468,J.T. Miller,NYR,C,80.27,1.17,-2.20,1.28,360,157250.00
8484801,Macklin Celebrini,SJS,C,80.25,0.96,-2.80,1.26,350,166220.00
8476459,Mika Zibanejad,NYR,C,80.22,0.95,-0.60,1.11,410,184622.00
8480801,Brady Tkachuk,OTT,L,80.07,1.03,2.60,0.87,360,157572.00
8477942,Kevin Fiala,LAK,L,79.97,1.06,2.00,1.18,405,179952.00
8478440,Dylan Strome,WSH,C,79.97,1.18,-1.40,0.88,410,171056.00
8473419,Brad Marchand,FLA,L,79.88,0.97,3.60,0.97,355,156122.00
8475158,Ryan O'Reilly,NSH,C,79.67,0.78,4.20,1.24,395,180010.00
8483457,Lane Hutson,MTL,D,79.66,0.44,-1.40,1.79,410,223694.00
8479337,Alex DeBrincat,DET,R,79.33,1.31,-1.80,1.19,410,175852.00
8482113,Anton Lundell,FLA,C,78.96,0.81,1.00,1.20,395,158434.00
8482124,Quinton Byfield,LAK,R,78.92,0.74,4.40,0.95,405,181020.00
8480849,Barrett Hayton,UTA,C,78.68,0.78,2.40,0.73,410,158438.00
8480027,Jason Robertson,DAL,L,78.30,1.20,0.00,0.99,410,175088.00
8474600,Roman Josi,NSH,D,78.20,0.59,1.20,1.04,265,159206.00
8481540,Cole Caufield,MTL,R,78.10,1.23,-4.00,0.93,410,177868.00
8474590,John Carlson,WSH,D,78.09,0.41,2.60,1.16,395,223388.00
8475754,Brock Nelson,COL,C,78.06,0.90,-1.20,1.59,400,181560.00
8481604,Pavel Dorofeyev,VGK,L,77.82,1.07,4.20,1.06,410,162622.00
8477504,Josh Morrissey,WPG,D,77.60,0.49,2.60,0.98,400,234156.00
8475726,Tyler Toffoli,SJS,C,77.45,1.05,-0.20,0.82,390,158460.00
8476456,Jonathan Huberdeau,CGY,L,77.33,1.03,0.20,0.87,405,189948.00
8481580,Connor McMichael,WSH,C,77.32,0.91,7.00,0.87,410,165396.00
8478414,Timo Meier,NJD,R,77.28,0.88,3.20,0.90,400,171452.00
8477500,Bo Horvat,NYI,C,77.22,0.88,0.00,0.81,405,196086.00
8477998,Warren Foegele,LAK,L,77.19,0.83,10.00,1.49,410,159102.00
8480865,Noah Dobson,NYI,D,77.05,0.45,2.60,1.31,355,198280.00
8475722,Jason Zucker,BUF,L,76.91,1.14,-0.20,1.03,365,140106.00
8482684,Luke Hughes,NJD,D,76.83,0.50,1.80,1.32,355,180266.00
8473512,Claude Giroux,OTT,R,76.38,0.71,0.00,0.77,405,176956.00
8479410,Mikhail Sergachev,UTA,D,76.27,0.54,1.20,0.99,385,232080.00
8478469,Thomas Chabot,OTT,D,76.20,0.40,0.60,1.01,400,221032.00
8482667,William Eklund,SJS,L,76.12,0.85,-0.40,0.60,385,180672.00
8478519,Anthony Cirelli,TBL,C,75.85,0.91,6.20,0.84,400,179428.00
8477935,Sam Bennett,FLA,C,75.72,0.96,4.00,1.22,380,159176.00
8482149,Cole Perfetti,WPG,C,75.63,0.87,3.60,0.96,410,149440.00
8477476,Artturi Lehkonen,COL,L,75.56,0.88,3.00,0.51,345,168760.00
8478458,Jack Roslovic,CAR,C,75.52,0.90,4.40,1.02,405,134342.00
8478038,Devon Toews,COL,D,75.41,0.37,0.80,1.12,380,224256.00
8478873,Troy Terry,ANA,R,75.34,0.79,0.80,0.91,385,174166.00
8478013,Jake Walman,EDM,D,75.34,0.43,1.60,1.09,325,177616.00
8477932,Aaron Ekblad,FLA,D,75.34,0.33,3.60,1.05,280,158004.00
8482730,Brandt Clarke,LAK,D,75.07,0.42,0.80,1.13,390,152372.00
8476454,Ryan Nugent-Hopkins,EDM,C,74.97,0.82,1.80,1.18,390,177586.00
8478407,Vince Dunn,SEA,D,74.75,0.50,4.20,1.10,310,164268.00
8475768,Jaden Schwartz,SEA,C,74.70,0.83,-1.00,1.78,405,173820.00
8477409,Carter Verhaeghe,FLA,C,74.56,0.80,23.80,0.93,405,173688.00
8477402,Pavel Buchnevich,STL,L,74.54,0.85,2.60,0.62,380,173522.00
8478856,Conor Garland,VAN,R,74.50,0.76,1.80,0.79,405,181322.00
8483432,Luca Del Bel Belluz,CBJ,C,74.41,0.70,4.60,0.87,75,24756.00
8470613,Brent Burns,CAR,D,74.28,0.27,2.80,1.26,410,206204.00
8482105,Jake Sanderson,OTT,D,74.17,0.44,0.60,1.63,400,234644.00
8481581,Thomas Harley,DAL,D,74.07,0.50,4.00,0.95,390,218858.00
8475810,Bryan Rust,PIT,R,74.05,1.19,-3.40,0.71,355,168276.00
8479345,Jakob Chychrun,WSH,D,73.97,0.68,9.00,1.35,370,187050.00
8477346,MacKenzie Weegar,CGY,D,73.95,0.33,0.20,1.58,405,234878.00
8484387,Matvei Michkov,PHI,R,73.94,1.07,-2.20,0.61,400,160170.00
8484166,Adam Fantilli,CBJ,C,73.83,1.01,3.80,0.96,410,171982.00
8479675,Trevor Moore,LAK,L,73.78,0.72,4.00,1.15,355,143792.00
8477501,Valeri Nichushkin,COL,R,73.76,1.06,-0.80,0.49,215,101858.00
8476461,Sean Couturier,PHI,C,73.74,0.73,1.00,1.23,395,163944.00
8475692,Mats Zuccarello,MIN,R,73.57,0.87,1.40,1.28,345,162754.00
8482155,Alex Laferriere,LAK,R,73.39,0.84,-0.60,0.66,385,152754.00
8481528,Dylan Cozens,OTT,C,73.37,0.75,-1.00,0.64,410,167878.00
8482671,Owen Power,BUF,D,73.20,0.37,-1.80,0.93,395,202036.00
8481716,Dmitri Voronkov,CBJ,L,73.10,0.95,9.60,0.54,365,147054.00
8480014,Gabriel Vilardi,WPG,C,73.08,1.09,-3.00,1.03,355,154520.00
8482146,Luke Evangelista,NSH,R,73.03,0.64,2.40,1.02,340,113192.00
8477496,Elias Lindholm,BOS,C,73.03,0.67,-1.20,0.87,410,177886.00
8482720,Matthew Knies,TOR,L,72.99,0.99,-0.60,0.58,390,173300.00
8476462,Dougie Hamilton,NJD,D,72.85,0.52,9.00,0.94,320,152492.00
8476479,Phillip Danault,LAK,C,72.85,0.67,1.60,1.06,400,169664.00
8475786,Zach Hyman,EDM,L,72.81,0.90,5.20,0.61,365,165402.00
8474578,Erik Karlsson,PIT,D,72.77,0.42,-3.60,1.37,410,228640.00
8482079,Marco Rossi,MIN,C,72.71,0.91,1.60,0.72,410,179538.00
8480012,Elias Pettersson,VAN,C,72.40,0.83,0.20,1.11,320,143312.00
8482175,JJ Peterka,BUF,R,72.33,0.99,-1.80,0.94,385,168020.00
8482259,Bobby McMann,TOR,C,72.26,0.83,1.20,0.89,370,128730.00
8482702,Logan Stankoven,CAR,C,72.14,0.65,2.00,1.02,390,141254.00
8474716,Jared Spurgeon,MIN,D,72.08,0.38,3.80,0.98,330,161972.00
8475218,Mattias Ekholm,EDM,D,72.01,0.37,1.80,1.43,325,173130.00
8476474,Stefan Noesen,NJD,R,71.55,0.91,4.60,0.68,390,149134.00
8479987,Morgan Geekie,BOS,C,71.43,1.17,-4.40,1.43,385,156344.00
8477964,Ivan Barbashev,VGK,C,71.42,1.10,0.60,0.92,350,141106.00
8478178,Darren Raddysh,TBL,D,71.42,0.40,2.80,0.48,365,151546.00
8473994,Jamie Benn,DAL,L,71.11,0.89,0.00,0.64,400,146892.00
8477495,Seth Jones,FLA,D,70.95,0.47,-1.40,1.00,315,186290.00
8475764,Cam Fowler,STL,D,70.95,0.50,-1.40,0.66,340,175792.00
8474141,Patrick Kane,DET,R,70.94,0.90,-3.00,0.60,360,155342.00
8478396,Noah Hanifin,VGK,D,70.86,0.44,3.40,1.11,400,206904.00
8476539,Jonathan Marchessault,NSH,R,70.86,0.86,-0.40,0.43,390,168264.00
8480145,Neal Pionk,WPG,D,70.85,0.50,-0.60,1.18,345,182658.00
8480829,Jesperi Kotkaniemi,CAR,C,70.79,0.61,3.80,0.98,390,131594.00
8477987,Ryan Donato,CHI,C,70.76,1.32,-6.20,1.06,400,156568.00
8481605,Jackson LaCombe,ANA,D,70.56,0.56,-0.40,1.26,375,200706.00
8476448,William Karlsson,VGK,C,70.53,0.73,5.80,0.93,265,108210.00
8477416,Oliver Bjorkstrand,TBL,R,70.43,1.03,-3.80,1.30,395,143606.00
8478109,Victor Olofsson,VGK,L,70.33,0.96,6.20,0.59,280,97422.00
8476882,Teuvo Teravainen,CHI,C,70.18,0.81,-1.60,0.99,410,167926.00
8482679,Matt Coronato,CGY,R,70.16,0.87,-0.80,1.02,385,162436.00
8481606,Jordan Spence,LAK,D,70.12,0.31,3.60,0.68,395,159156.00
8478445,Mathew Barzal,NYI,C,70.09,0.79,4.80,0.98,150,73258.00
8480015,Owen Tippett,PHI,R,70.07,0.89,0.00,1.53,385,147764.00
8474565,Alex Pietrangelo,VGK,D,70.06,0.30,0.80,0.94,355,190866.00
8479425,Filip Hronek,VAN,D,70.03,0.32,-1.80,0.58,305,174906.00
8474564,Steven Stamkos,NSH,C,69.99,0.94,1.60,0.73,410,177118.00
8480762,Eric Robinson,CAR,L,69.97,0.84,2.80,0.54,410,120650.00
8476853,Morgan Rielly,TOR,D,69.92,0.37,-1.20,0.68,410,210464.00
8475170,Brayden Schenn,STL,C,69.84,0.78,-0.20,0.54,410,172800.00
8471215,Evgeni Malkin,PIT,C,69.84,0.89,-5.40,1.46,340,145130.00
8475200,Dmitry Orlov,CAR,D,69.69,0.28,4.80,0.83,380,182368.00
8479525,Ross Colton,COL,C,69.68,0.87,2.00,1.02,305,105560.00
8482713,Mackie Samoskevich,FLA,R,69.57,0.81,6.20,0.56,360,115104.00
8483515,Juraj Slafkovsk,MTL,L,69.54,0.74,-4.80,0.70,395,164468.00
8481542,Moritz Seider,DET,D,69.54,0.30,-0.80,0.88,410,246710.00
8477498,Darnell Nurse,EDM,D,69.53,0.32,2.00,0.56,380,204022.00
8476480,Vladislav Namestnikov,WPG,C,69.52,0.52,6.20,0.76,390,141252.00
8475799,Nino Niederreiter,WPG,R,69.51,0.76,2.40,0.84,410,146144.00
8475151,Kyle Palmieri,NYI,C,69.46,0.76,-2.40,0.71,410,182200.00
8481601,Simon Holmstrom,NYI,R,69.38,0.89,-4.00,0.62,375,151784.00
8480802,Ryan McLeod,BUF,C,69.30,0.87,-2.60,1.17,395,159518.00
8482157,Will Cuylle,NYR,L,69.30,0.83,-2.60,0.44,410,148362.00
8482745,Mason McTavish,ANA,C,69.24,0.84,-2.60,0.84,380,153906.00
8473533,Jordan Staal,CAR,C,69.21,0.72,4.00,0.47,375,138936.00
8475784,Jeff Skinner,EDM,L,69.12,0.86,4.40,1.22,360,112318.00
8477986,Brandon Montour,SEA,D,69.05,0.48,2.80,0.81,405,223328.00
8476921,Jordan Martinook,CAR,L,68.96,0.72,7.00,0.89,395,145012.00
8481554,Kaapo Kakko,SEA,R,68.88,0.78,-1.40,0.88,395,148042.00
8480220,Noah Cates,PHI,L,68.88,0.74,0.00,1.02,390,148612.00
8478493,Joel Eriksson Ek,MIN,C,68.84,0.78,-0.20,0.92,230,109110.00
8481596,Shane Pinto,OTT,C,68.83,0.83,1.60,1.32,350,147478.00
8470621,Corey Perry,EDM,R,68.82,0.84,5.40,0.81,405,116028.00
8476432,Boone Jenner,CBJ,C,68.76,0.85,-0.60,0.51,130,56116.00
8475191,Reilly Smith,VGK,R,68.69,0.66,4.00,1.28,395,146378.00
8480036,Miro Heiskanen,DAL,D,68.68,0.24,9.20,1.34,250,150962.00
8476419,Jean-Gabriel Pageau,NYI,C,68.57,0.68,-2.00,1.12,395,161134.00
8483524,Shane Wright,SEA,C,68.52,0.94,-3.00,0.76,395,133366.00
8479325,Charlie McAvoy,BOS,D,68.46,0.34,-0.40,1.29,250,142022.00
8475798,Mikael Granlund,DAL,C,68.45,0.95,-4.80,0.71,415,193720.00
8475791,Taylor Hall,CAR,L,68.44,0.86,-5.60,1.75,385,140206.00
8476458,Ryan Strome,ANA,C,68.36,0.67,0.00,0.83,410,164158.00
8476399,Blake Coleman,CGY,L,68.34,0.64,1.60,1.28,410,174018.00
8476891,Matt Grzelcyk,PIT,D,68.30,0.29,2.20,1.14,410,202822.00
8475314,Anders Lee,NYI,L,68.29,1.02,-1.00,0.51,410,167874.00
8476869,Brady Skjei,NSH,D,68.21,0.33,2.20,1.07,410,215408.00
8482737,Zack Bolduc,STL,R,68.11,0.92,-3.80,1.11,360,110646.00
8476892,Colton Parayko,STL,D,68.11,0.52,-2.60,1.07,320,182420.00
8477426,Nick Paul,TBL,L,68.02,0.85,4.40,0.91,380,149958.00
8474563,Drew Doughty,LAK,D,67.98,0.30,2.60,0.58,150,86892.00
8482665,Matty Beniers,SEA,C,67.97,0.69,-1.40,1.10,410,183888.00
8476958,Jaccob Slavin,CAR,D,67.83,0.22,4.00,2.12,400,207098.00
8481524,Bowen Byram,BUF,D,67.80,0.32,-1.40,0.48,410,223340.00
8482159,Tyson Foerster,PHI,R,67.71,0.82,-0.60,0.70,405,163904.00
8481068,Yegor Sharangovich,CGY,C,67.65,0.70,1.40,0.84,365,145926.00
8478047,Michael Bunting,NSH,L,67.54,0.82,-3.40,0.66,380,141638.00
8479353,Brett Howden,VGK,C,67.47,0.86,5.00,1.11,400,142684.00
8481532,Alex Turcotte,LAK,C,67.43,0.74,-0.20,0.68,340,95772.00
8480188,Fabian Zetterlund,OTT,L,67.36,0.73,-3.40,0.96,420,164726.00
8476392,Adam Lowry,WPG,C,67.29,0.67,2.00,1.07,365,135152.00
8482109,Alexis Lafrenire,NYR,L,67.24,0.80,14.60,1.08,410,167334.00
8482089,Jake Neighbours,STL,L,67.18,0.87,-2.40,0.64,410,156404.00
8476438,Brandon Saad,VGK,L,67.18,0.60,5.20,1.18,360,128032.00
8483445,Cutter Gauthier,ANA,L,67.06,0.87,-5.40,1.14,410,139290.00
8478444,Brock Boeser,VAN,R,67.04,0.87,-2.00,0.79,375,163452.00
8480113,Alex Iafallo,WPG,L,67.00,0.76,1.20,1.43,410,130706.00
8477950,Tony DeAngelo,NYI,D,66.91,0.41,-3.60,0.44,175,98044.00
8484958,Maxim Tsyplakov,NYI,R,66.88,0.60,1.40,1.46,385,138296.00
8476923,Damon Severson,CBJ,D,66.87,0.40,1.00,1.26,350,160052.00
8478859,Niko Mikkola,FLA,D,66.86,0.19,6.00,0.59,380,184172.00
8480891,Michael Kesselring,UTA,D,66.85,0.44,-4.60,0.91,410,174036.00
8477429,Andrew Copp,DET,C,66.81,0.73,2.60,1.31,280,98800.00
8476826,Yanni Gourde,TBL,C,66.77,0.56,-1.00,1.05,285,109764.00
8483464,Marco Kasper,DET,C,66.72,0.70,1.20,0.45,385,142766.00
8480748,Kiefer Sherwood,VAN,L,66.72,0.86,-6.80,1.32,390,139362.00
8484144,Connor Bedard,CHI,C,66.67,0.88,-7.00,0.94,410,199610.00
8474149,Evgenii Dadonov,DAL,R,66.58,0.93,0.00,0.50,400,129920.00
8482659,Josh Doan,UTA,R,66.48,0.64,4.60,0.87,255,82734.00
8478498,Jake DeBrusk,VAN,L,66.48,0.87,-1.80,0.57,410,163828.00
8484145,Zach Benson,BUF,L,66.41,0.63,-1.80,1.03,375,133366.00
8482097,Jack Quinn,BUF,R,66.40,0.77,-2.40,0.65,370,131986.00
8481553,Bobby Brink,PHI,R,66.31,0.66,-0.20,1.08,395,140596.00
8480459,Pius Suter,VAN,C,66.27,0.85,0.80,0.81,405,168584.00
8477948,Travis Sanheim,PHI,D,66.27,0.25,3.80,1.51,410,241034.00
8478366,Frank Vatrano,ANA,R,66.22,0.67,4.80,0.55,405,170540.00
8482809,Jackson Blake,CAR,R,66.17,0.81,25.00,1.08,400,132920.00
8476967,Brett Kulak,EDM,D,66.05,0.25,1.80,0.82,410,202064.00
8479339,Patrik Laine,MTL,L,65.97,1.20,-6.00,1.05,260,89278.00
8475171,Oliver Ekman-Larsson,TOR,D,65.94,0.22,2.40,1.04,385,194674.00
8484153,Leo Carlsson,ANA,C,65.94,0.79,-2.20,0.88,380,148112.00
8478397,Rasmus Andersson,CGY,D,65.93,0.28,-5.40,0.93,405,233136.00
8474037,James van Riemsdyk,CBJ,L,65.89,0.95,-3.00,0.34,355,105644.00
8480336,Sean Walker,CAR,D,65.83,0.23,0.20,1.74,410,165644.00
8475753,Justin Faulk,STL,D,65.73,0.26,0.60,0.96,390,210136.00
8477505,Alexander Wennberg,SJS,C,65.72,0.46,-3.40,1.57,385,174240.00
8475220,Marcus Foligno,MIN,L,65.69,0.65,2.00,1.08,385,133814.00
8474150,Mikael Backlund,CGY,C,65.64,0.58,-1.00,1.47,380,170880.00
8483506,Sam Rinzel,CHI,D,65.59,0.11,9.40,0.57,45,25230.00
8480064,Josh Norris,BUF,C,65.58,0.93,-2.20,0.76,280,123288.00
8478055,Gustav Forsling,FLA,D,65.49,0.34,-0.40,1.21,400,220298.00
8482705,Cole Sillinger,CBJ,C,65.42,0.62,-3.80,1.13,330,133956.00
8477444,Andre Burakovsky,SEA,L,65.37,0.70,-5.40,0.95,395,136724.00
8478401,Pavel Zacha,BOS,C,65.36,0.64,-3.20,0.92,410,187574.00
8471724,Kris Letang,PIT,D,65.36,0.29,-2.80,1.28,370,208906.00
8478462,Nicolas Roy,VGK,C,65.31,0.68,-0.60,1.11,355,129656.00
8482762,Simon Edvinsson,DET,D,65.24,0.35,2.60,0.95,390,197700.00
8476917,Adam Pelech,NYI,D,65.23,0.08,1.00,1.71,300,152020.00
8481598,Philip Broberg,STL,D,65.22,0.38,-1.40,0.95,340,167278.00
8482110,Dawson Mercer,NJD,C,65.21,0.66,1.60,0.74,410,175974.00
8478542,Evan Rodrigues,FLA,C,65.20,0.55,3.80,1.01,410,149756.00
8484227,Will Smith,SJS,C,65.19,0.96,-5.00,0.66,370,140772.00
8480817,K'Andre Miller,NYR,D,65.19,0.32,2.60,1.74,370,194886.00
8480028,Morgan Frost,CGY,C,65.17,0.58,-3.80,1.62,405,153142.00
8481577,Philip Tomasino,PIT,R,65.05,0.77,0.80,1.28,305,95646.00
8484984,Ivan Demidov,MTL,R,64.98,2.19,-1.60,0.00,10,3290.00
8480873,Rasmus Sandin,WSH,D,64.95,0.31,6.20,0.99,410,188838.00
8482803,Olen Zellweger,ANA,D,64.93,0.38,-1.80,1.07,310,141050.00
8478042,Viktor Arvidsson,EDM,L,64.92,0.75,5.80,0.90,335,120572.00
8480078,Filip Chytil,VAN,C,64.90,0.76,-2.20,1.07,280,100584.00
8476905,Chandler Stephenson,SEA,C,64.87,0.59,-4.00,1.18,390,182608.00
8477451,Ryan Hartman,MIN,R,64.82,0.64,0.00,1.22,345,123956.00
8477479,Tyler Bertuzzi,CHI,L,64.78,0.91,-5.40,0.91,410,157468.00
8479398,Samuel Girard,COL,D,64.78,0.23,-1.00,0.95,365,182640.00
8475763,Kevin Hayes,PIT,R,64.71,0.73,-3.80,1.05,320,92524.00
8481592,Jakob Pelletier,PHI,L,64.69,0.66,0.80,1.17,245,67950.00
8478882,Vladislav Gavrikov,LAK,D,64.68,0.21,-2.40,0.70,410,227172.00
